gamma,omega,seed,trajectory_length,burn_in,dt,analytic_covariance_diff,empirical_covariance_diff,cov_a_target_diff,cov_b_target_diff,normalized_generator_difference,normalized_current_difference,c_only_predictor_difference,lagged_antisymmetric_a,lagged_antisymmetric_b,lagged_antisymmetric_delta,orientation_a,orientation_b
0.25,0.0,43,5000,1000,0.01,0.0,0.9388765595187801,0.5145342220225747,0.35346805817183735,0.0,0.0,0.7065584278170215,0.0002660179001189253,0.004478530234053747,0.004212512333934822,0.0005087073833209878,-0.0038217545524683186
0.25,0.0,44,5000,1000,0.01,0.0,0.48811374628624626,0.3948534654028262,0.4460890572645254,0.0,0.0,0.3419084114068063,0.002206704853910371,0.0022459168505109066,3.921199660053554e-05,0.0023137689293027926,-0.0016394711293584653
0.25,0.0,45,5000,1000,0.01,0.0,0.7411776705404833,0.35451520115893465,0.4336760906612528,0.0,0.0,0.5401602851229872,0.00031886611162662613,0.000267561838592115,-5.130427303451113e-05,-0.00012429585801582483,1.4894033814711703e-05
0.25,0.0,46,5000,1000,0.01,0.0,1.7637631007911436,0.27877476777746435,0.5626913509608581,0.0,0.0,0.649079222441127,0.000436018689735899,0.0008849221303601526,0.00044890344062425356,0.0004993969552500327,0.00037839585879791767
0.25,0.0,47,5000,1000,0.01,0.0,0.5199910418771961,0.37223556459571344,0.5569335370553831,0.0,0.0,0.39219179966930867,0.00023346545151016387,0.001518541063523796,0.0012850756120136322,-0.00012405563820967408,0.0008310744097941762
0.25,0.0,48,5000,1000,0.01,0.0,0.2998568288659781,0.2910566437092214,0.3047646107821147,0.0,0.0,0.17977387031932437,7.267155819695653e-05,0.0024739217875578545,0.002401250229360898,0.00012272654631922535,0.0015489473263880127
0.25,0.0,49,5000,1000,0.01,0.0,0.5984517660583564,0.5455870324407905,0.38968512196267224,0.0,0.0,1.2106549513795934,0.0018533210972882202,8.19578128813404e-05,-0.0017713632844068797,0.001535323588070086,2.7621568937719113e-05
0.25,0.0,50,5000,1000,0.01,0.0,0.3754149381972531,0.28632402478094426,0.29481602009517704,0.0,0.0,0.39697926074375717,0.0010903165701396348,6.97870475910063e-05,-0.0010205295225486286,-0.001268666659876541,3.9660815812841576e-06
0.25,0.0,51,5000,1000,0.01,0.0,0.5541603485911499,0.2221593484342064,0.49455872427866865,0.0,0.0,0.3573218611132547,0.0006946016342757417,0.0021436321406617313,0.0014490305063859896,-0.00026838207375320033,0.000991970675404661
0.25,0.0,52,5000,1000,0.01,0.0,0.5289570455131208,0.365792816667621,0.39714469646358447,0.0,0.0,0.5467064100754764,0.001513877224671616,0.0017014531417125728,0.00018757591704095678,-0.0011385050390073145,-0.0016327466120557783
0.25,0.0,53,5000,1000,0.01,0.0,0.5931418427170432,0.3272146867339098,0.4217782584138916,0.0,0.0,0.4756145492690073,0.00015945472615020372,0.0009781115256233919,0.0008186567994731881,0.00035300476904801496,0.0008512596610179312
0.25,0.0,54,5000,1000,0.01,0.0,0.18415769778061888,0.34417006054410043,0.28308270485911463,0.0,0.0,0.17966499045908463,0.0005223113913170866,0.002196390788344792,0.0016740793970277056,-0.00045851131345288625,0.001704383734780572
0.25,0.0,55,5000,1000,0.01,0.0,0.3476605998209823,0.3909503283317867,0.17128991099315385,0.0,0.0,0.5572574717035839,0.000614043172585944,0.0005061792175841604,-0.00010786395500178363,0.00012999912465930594,-0.0003872445625995544
0.25,0.0,56,5000,1000,0.01,0.0,0.3993186245486634,0.1393356925055924,0.2813917119824789,0.0,0.0,0.3263087986553106,0.000299218271089674,0.00032835684689351075,2.9138575803836744e-05,-9.903623850724574e-07,0.0004947715026234849
0.25,0.0,57,5000,1000,0.01,0.0,0.31514920039325683,0.3285940905360827,0.31412201106542936,0.0,0.0,0.26895157492905003,0.0006020643616449029,0.0010261827265218915,0.00042411836487698867,0.0002969618618306513,0.0009517698297408917
0.25,0.0,58,5000,1000,0.01,0.0,0.7952223533387245,0.5473272960857308,0.4982180417323952,0.0,0.0,0.1965487182993335,0.0003553743711861982,0.003725006790045714,0.0033696324188595157,0.0001373422312218888,0.001877497635582801
0.25,0.0,59,5000,1000,0.01,0.0,0.5748581440160923,0.3358356301656765,0.6256979026028584,0.0,0.0,0.6453908556818749,0.0005916863386485571,0.00015442011933933713,-0.00043726621930922,0.0003675850269258505,0.00016423557849048933
0.25,0.0,60,5000,1000,0.01,0.0,0.735937259296309,0.2908538460673347,0.3857851136104276,0.0,0.0,0.5322229718234086,0.0015167713151737633,0.0012468546441061063,-0.000269916671067657,-0.0015703194113299427,0.000868008205447165
