dimension,condition,beta,sample_size,seed,scale,generator_error,vector_field_cosine,orbit_shape_error,frequency_error,trajectory_error
2,1.5,0.5,2000,4,0.964329634804271,0.04721092514854834,0.9992746334995237,0.01904424454364418,0.023153823386782478,0.007505255190568698
2,1.5,0.5,2000,5,0.9458880015403729,0.03492557093496819,0.9996348441900867,0.013512139170265211,0.0146106738541841,0.005548467835328677
2,1.5,0.5,2000,6,0.9824718284184756,0.013215824132893614,0.9999489084917541,0.005054280772071475,0.0017972692645752502,0.0020960406850441472
2,1.5,0.5,2000,7,1.0074775543912042,0.02849960494283725,0.9997637701260709,0.010868069606171113,0.0012793832892331125,0.00451925473641668
2,1.5,0.5,2000,8,0.9823535815487202,0.011013442087254237,0.9999651766084536,0.004172732410920922,0.0025172430219002075,0.0017473782784297599
2,1.5,0.5,2000,9,0.975901253945495,0.02808488027920713,0.9997796522634994,0.010496374052514761,0.006911496242828529,0.004456298324439874
2,1.5,0.5,2000,10,0.9903484356189506,0.03688563264917532,0.9996082339967698,0.013995820862497151,0.009690733697463339,0.005853340733291047
2,1.5,0.5,2000,11,1.0337740775004303,0.039858995837412745,0.9995381644105578,0.015195979557801964,0.013824975756584786,0.006328760519287065
2,1.5,0.5,2000,12,0.9664555061129407,0.029969273733891202,0.999732896549796,0.011556458155592371,0.013576469161981995,0.004762626022110495
2,1.5,0.5,2000,13,0.9870294453281914,0.022083275805075804,0.9998505505590611,0.008644346156272978,0.009476649698498632,0.003508647576409418
2,1.5,0.5,2000,14,1.0039854437025182,0.05672056921062367,0.998976966298107,0.02261673829150752,0.023847407074661566,0.009010953448009925
2,1.5,0.5,2000,15,0.9562522131755022,0.0254173133246513,0.9998109037218649,0.009723586738832663,0.01145086759547743,0.004039163696452324
2,1.5,0.5,2000,16,1.029848309837221,0.03989431710982936,0.9995865346431814,0.014378201501208707,0.002504518994540191,0.006326276193631156
2,1.5,0.5,2000,17,1.0020830294141603,0.019594834519670517,0.9998887046242967,0.007459737787056654,0.0037390241733193373,0.003108366418045712
2,1.5,0.5,2000,18,0.9894039842527276,0.04429978673999224,0.9993996153418292,0.01732605924858316,0.012616712797146516,0.007030832070700966
2,1.5,0.5,2000,19,0.9974179087931757,0.039856633542835314,0.9995161042229689,0.015554674169379603,0.00442811057696839,0.006320872101098034
2,1.5,0.5,2000,20,0.9617360755194958,0.022225524608651438,0.9998485157685155,0.00870299464220536,0.007651797839173754,0.003528775205289359
2,1.5,0.5,2000,21,1.0026438983270465,0.015384282969693559,0.9999301259372766,0.005910755566058041,0.006293127605997324,0.0024438681238523777
2,1.5,0.5,2000,22,0.9859822972955639,0.016450987788901198,0.999928393864745,0.005983566463865443,0.0034505788363532967,0.0026098668907612293
2,1.5,0.5,2000,23,1.0178913652617192,0.004052011726276668,0.9999957570836232,0.0014565226357284762,0.0011845122073110836,0.0006431184127965783
2,1.5,0.5,2000,24,1.051837609842707,0.030687849485438276,0.9997147225979867,0.011943144519206772,0.010973559745041776,0.004872962719808355
2,1.5,0.5,2000,25,0.9816229085555351,0.004636012431816199,0.9999932339475688,0.0018393004691091611,0.0014866755355218801,0.0007359466241092344
2,1.5,0.5,2000,26,0.9547649497540815,0.031441310439221194,0.9997160923549266,0.011914437566947406,0.006385771872068003,0.004987835941808872
2,1.5,0.5,2000,27,0.9933876116944762,0.010744065343590752,0.9999696271364041,0.0038969772642295686,0.00028572447437425673,0.0017036896060961017
2,1.5,0.5,2000,28,0.9904653962144373,0.0440630831034849,0.9994556756647557,0.016497338198089014,0.018033372689933356,0.006999500437881288
2,1.5,0.5,2000,29,1.0144217708868486,0.02382529770158618,0.999837315583521,0.009018991531182845,0.006447389609120314,0.003780936329140942
2,1.5,0.5,2000,30,0.9731950485505403,0.024783784721221398,0.9998307740345198,0.009198531553466414,0.005202259927695925,0.003931829506807866
2,1.5,0.5,2000,31,1.044346159951228,0.0358253872205078,0.9996509093590193,0.013211560108114855,0.01145188611477114,0.005687163684299159
2,1.5,0.5,2000,32,0.9943415111732605,0.013699244522194244,0.9999451976797055,0.0052346117475180875,0.002968276544015543,0.0021733858560528006
2,1.5,0.5,2000,33,1.0007138908101816,0.01122921732439737,0.9999589528360673,0.0045302960131035725,0.003960679377698332,0.0017829985987068875
2,1.5,0.5,2000,34,1.001385356757776,0.004811665747928145,0.9999931569429319,0.0018497374230038333,6.004072010337005e-05,0.0007629826885153828
2,1.5,0.5,2000,35,0.9754485117180196,0.02391805858209097,0.999834051835591,0.009109011044262242,0.004636705428224781,0.003794217462676173
2,1.5,0.5,2000,36,1.0127112153339355,0.012342569570926073,0.9999501362480095,0.004993182952310783,0.0012143220597961826,0.001957355616999469
2,1.5,0.5,2000,37,1.0141353050426523,0.030702460153896303,0.9997008021375977,0.012231064189232366,0.002864980645522365,0.00486891932985604
2,1.5,0.5,2000,38,1.0020329416414957,0.019409017454411148,0.9998951330739609,0.007241095429529463,0.007423799786802981,0.0030825865365369225
2,1.5,0.5,2000,39,1.0146944187270435,0.0024311264720265654,0.9999984292626135,0.000886210298552158,0.0009513774918856824,0.000386141972464359
2,1.5,0.5,2000,40,1.0185843615098178,0.021123192295772125,0.9998620280256977,0.008305780345707546,0.002301583151473928,0.00334991548587393
