seed,forward_reverse_symmetric_feature_difference,forward_reverse_transition_difference,current_sign_reversal_error,symmetric_information_accuracy,symmetric_information_AUC,asymmetric_current_accuracy,asymmetric_current_AUC,entropy_production_AUC,entropy_production_forward,entropy_production_reverse,detailed_balance_residual_forward,detailed_balance_residual_reverse,reversible_negative_control_current_norm,probability_current_baseline_accuracy,input_A_has_asymmetric_information,input_B_has_explicit_current,timestamps_hidden,forward_reverse_metadata_stripped,stage
1039,0.0,0.1550153736378035,0.0,0.5,0.5,1.0,1.0,0.5,0.0547545940200196,0.0547545940200196,0.0387538434094508,0.0387538434094508,9.813077866773596e-18,1.0,False,True,True,True,validation
1040,0.0,0.1635333099635289,0.0,0.5,0.5,1.0,1.0,0.5,0.0617945977222723,0.0617945977222723,0.0408833274908822,0.0408833274908822,0.0,1.0,False,True,True,True,validation
1041,0.0,0.1527809952056734,0.0,0.5,0.5,1.0,1.0,0.5,0.0528877436958136,0.0528877436958136,0.0381952488014183,0.0381952488014183,0.0,1.0,False,True,True,True,validation
1042,0.0,0.1519490069046017,0.0,0.5,0.5,1.0,1.0,0.5,0.0552204441688878,0.0552204441688878,0.0379872517261504,0.0379872517261504,4.2491873609703695e-18,1.0,False,True,True,True,validation
1043,0.0,0.1443081663401773,0.0,0.5,0.5,1.0,1.0,0.5,0.050342457804245,0.050342457804245,0.0360770415850443,0.0360770415850443,0.0,1.0,False,True,True,True,validation
1044,0.0,0.1657024867792877,0.0,0.5,0.5,1.0,1.0,0.5,0.0694716014697649,0.0694716014697649,0.0414256216948219,0.0414256216948219,0.0,1.0,False,True,True,True,validation
1045,0.0,0.1499740256112245,0.0,0.5,0.5,1.0,1.0,0.5,0.0510714765897417,0.0510714765897417,0.0374935064028061,0.0374935064028061,9.813077866773596e-18,1.0,False,True,True,True,validation
1046,0.0,0.1644247581037936,0.0,0.5,0.5,1.0,1.0,0.5,0.0676945378765843,0.0676945378765843,0.0411061895259484,0.0411061895259484,0.0,1.0,False,True,True,True,validation
1047,0.0,0.1534432279217994,0.0,0.5,0.5,1.0,1.0,0.5,0.0552822359944004,0.0552822359944004,0.0383608069804498,0.0383608069804498,4.9065389333867974e-18,1.0,False,True,True,True,validation
1048,0.0,0.1447719672229399,0.0,0.5,0.5,1.0,1.0,0.5,0.047888710717139,0.047888710717139,0.0361929918057349,0.0361929918057349,0.0,1.0,False,True,True,True,validation
1049,0.0,0.1568932226912553,0.0,0.5,0.5,1.0,1.0,0.5,0.0598669839204072,0.0598669839204072,0.0392233056728138,0.0392233056728138,0.0,1.0,False,True,True,True,validation
20000,0.0,0.16693372782128135,0.0,0.5,0.5,1.0,1.0,0.5,0.06674803581250677,0.06674803581250677,0.04173343195532034,0.04173343195532034,4.9065389333867974e-18,1.0,False,True,True,True,confirmation
20001,0.0,0.16389811714981,0.0,0.5,0.5,1.0,1.0,0.5,0.06735069333226106,0.06735069333226106,0.0409745292874525,0.0409745292874525,9.813077866773595e-18,1.0,False,True,True,True,confirmation
