seed,gamma,omega,analytic_stationary_covariance_difference,analytic_equal_time_moment_max_difference_order_1_to_6,stationary_lyapunov_residual_A0,stationary_lyapunov_residual_A1,empirical_moment_max_difference_order_1_to_6,generator_difference_norm,probability_current_norm_A0,probability_current_norm_A1,input_has_timestamp,input_has_lag,input_has_sample_order,baseline_equal_time_verdict,stage,empirical_moment_normalized_max_difference,empirical_to_population_normalized_RMSE_A0,empirical_to_population_normalized_RMSE_A1
26,1.0,1.5,0.0,0.0,0.0,0.0,0.8481147089893657,2.1213203435596424,0.0,2.1213203435596424,False,False,False,NON_IDENTIFIABLE,development,0.056540980599291,0.0106640722949806,0.0120013714003338
27,0.5,0.5,0.0,0.0,0.0,0.0,1.0178625953226046,0.7071067811865476,0.0,0.7071067811865476,False,False,False,NON_IDENTIFIABLE,development,0.0678575063548403,0.0339193659166891,0.0166642113237992
27,0.5,1.5,0.0,0.0,0.0,0.0,2.218271019261543,2.1213203435596424,0.0,2.1213203435596424,False,False,False,NON_IDENTIFIABLE,development,0.1478847346174362,0.0278659095466218,0.0122152338769588
27,1.0,0.5,0.0,0.0,0.0,0.0,1.9189541678035589,0.7071067811865476,0.0,0.7071067811865476,False,False,False,NON_IDENTIFIABLE,development,0.1279302778535705,0.0166512084560252,0.0227142535476102
27,1.0,1.5,0.0,0.0,0.0,0.0,2.2619570560886864,2.1213203435596424,0.0,2.1213203435596424,False,False,False,NON_IDENTIFIABLE,development,0.150797137072579,0.0089543220349132,0.0284768258996707
28,0.5,0.5,0.0,0.0,0.0,0.0,1.2059436471105194,0.7071067811865476,0.0,0.7071067811865476,False,False,False,NON_IDENTIFIABLE,development,0.0803962431407012,0.0193674476891183,0.0232388809276291
28,0.5,1.5,0.0,0.0,0.0,0.0,0.843244971728408,2.1213203435596424,0.0,2.1213203435596424,False,False,False,NON_IDENTIFIABLE,development,0.0562163314485605,0.0121829946996841,0.0208706720271094
28,1.0,0.5,0.0,0.0,0.0,0.0,1.2689213096233836,0.7071067811865476,0.0,0.7071067811865476,False,False,False,NON_IDENTIFIABLE,development,0.0845947539748922,0.0129661462043664,0.0253624332810282
28,1.0,1.5,0.0,0.0,0.0,0.0,1.4953826706903754,2.1213203435596424,0.0,2.1213203435596424,False,False,False,NON_IDENTIFIABLE,development,0.099692178046025,0.0333793654804276,0.0222963892412892
29,0.5,0.5,0.0,0.0,0.0,0.0,3.196424404856512,0.7071067811865476,0.0,0.7071067811865476,False,False,False,NON_IDENTIFIABLE,development,0.2130949603237674,0.0389885568914758,0.0169876219675413
