trial,latent_rank,rho,frequency,strength,noise,drift,x_delay,y_delay,sample_length,correlon_score,threshold,crosses_threshold,running_max,direct_edge,T_iso,T_floor
216,3,0.15723955484353216,0.0714162847480309,1.8085268517588275,0.8900054988183275,0.4404930034789618,5,8,750,0.021863073347391498,0.05106167951270389,False,0.7224829465807626,False,0.023561059457351097,0.02028745681231603
217,3,0.8822297891606046,0.010013902364888512,0.9960925837654968,1.3523259080830068,1.2073429401552696,8,3,300,0.0,0.05106167951270389,False,0.7224829465807626,False,0.054866927116648784,-0.054540223928218445
218,1,0.83162184173865,0.19666607844816794,2.4606381186839155,0.12468908441246898,0.47466527855792107,0,1,300,0.0,0.05106167951270389,False,0.7224829465807626,False,-0.026925499885103454,-0.10451690631353627
219,2,0.687340690790475,0.1485314409060732,1.0049943930199552,0.14347789693316826,0.06309719715189899,3,3,300,0.0,0.05106167951270389,False,0.7224829465807626,False,-0.06110299756233675,0.08256851563912986
220,3,0.6783227817690942,0.19757455049375497,1.871995447654001,0.10062973845514722,1.7113962473950453,0,8,750,0.11653033686235743,0.05106167951270389,True,0.7224829465807626,False,0.07340902985228681,0.1849815947245008
221,3,0.047579622680301886,0.026099382171787734,1.3802388123128884,0.5779960675716678,0.4867965959339291,8,2,600,0.0,0.05106167951270389,False,0.7224829465807626,False,-0.015639857617998437,-0.0537032989630325
222,3,0.09344557253330422,0.18291394623491175,2.7404109684124305,1.2619994239044918,1.0452552404024797,0,2,750,0.0,0.05106167951270389,False,0.7224829465807626,False,-0.007964984952294057,-0.05476744536559403
223,3,0.7157373156895654,0.16814019096728805,2.613115180279481,1.1911737113327008,0.21210328808759527,0,2,300,0.0,0.05106167951270389,False,0.7224829465807626,False,-0.0035457997286440918,-0.05996417094176276
224,1,0.6946681798227836,0.14397116676133215,1.0485608399368809,0.8851758922913381,1.402338608619547,2,5,750,0.0,0.05106167951270389,False,0.7224829465807626,False,-0.00538212374559402,0.10470103132134431
225,3,0.22866684864852269,0.196921258281739,1.5768757653365715,1.1840585657277467,1.8317660492514993,3,5,750,0.0,0.05106167951270389,False,0.7224829465807626,False,-0.018229535489272752,-0.0480075882448559
