stage,seed,dimension,true_rank,strength,rank,method,train_samples,heldout_samples,field_evaluation_samples,cca_identity_diff,scale,generator_error,vector_field_cosine,orbit_shape_error,frequency_error,stability_max_real_eigenvalue
development,0,4,2,0.25,1,block_diagonal,2000,1000,64,0.0,0.988277889148254,0.0602061557322205,0.9985445925733908,0.0269759840099399,0.0095147398052686,3.311927930529099e-17
development,0,4,2,0.25,1,pca_rank_matched,2000,1000,64,0.0,1.0460827882057389,0.1992405208286998,0.980485500059119,0.0987787931209959,0.1065739111768538,2.7755575615628914e-16
development,0,4,2,0.25,1,random_rank_matched,2000,1000,64,0.0,0.9841750821597136,0.0730763764322858,0.9977645661243902,0.0334322738952185,0.0130793529442467,2.498001805406602e-16
development,0,4,2,0.25,1,raw_svd,2000,1000,64,0.0,0.9835713035098334,0.0634107873984238,0.9984474703197708,0.0278615297518765,0.0115647631264044,3.6082248300317592e-16
development,0,4,2,0.25,1,full_state_oracle,2000,1000,64,0.0,1.0,0.0,1.0,0.0,0.0,2.220446049250313e-16
development,0,4,2,0.25,2,correlon,2000,1000,64,0.0,0.9807916867819276,0.0644340788408805,0.9982974430993712,0.0291766764782156,0.011873494543366,3.8857805861880484e-16
development,0,4,2,0.25,2,cca_equivalent,2000,1000,64,0.0,0.9807916867819276,0.0644340788408805,0.9982974430993712,0.0291766764782156,0.011873494543366,3.8857805861880484e-16
development,0,4,2,0.25,2,block_diagonal,2000,1000,64,0.0,0.988277889148254,0.0602061557322205,0.9985445925733908,0.0269759840099399,0.0095147398052686,3.311927930529099e-17
development,0,4,2,0.25,2,pca_rank_matched,2000,1000,64,0.0,1.0729920181817962,0.227699973696128,0.9729299284559708,0.116340172649066,0.1571582675876977,2.220446049250313e-16
development,0,4,2,0.25,2,random_rank_matched,2000,1000,64,0.0,0.9827076640337016,0.0750218504752349,0.9976856553521258,0.0340172356892369,0.0107144194595328,2.498001805406602e-16
development,0,4,2,0.25,2,raw_svd,2000,1000,64,0.0,0.981097531838232,0.0625936270519956,0.9983581509904912,0.0286517801323849,0.0107866811679733,1.9428902930940242e-16
development,0,4,2,0.25,2,full_state_oracle,2000,1000,64,0.0,1.0,0.0,1.0,0.0,0.0,2.220446049250313e-16
development,0,4,2,0.25,4,correlon,2000,1000,64,0.0,0.97991996744345,0.0689187103062782,0.997967139547288,0.0318815028873482,0.0116970082205897,2.220446049250313e-16
development,0,4,2,0.25,4,cca_equivalent,2000,1000,64,0.0,0.97991996744345,0.0689187103062782,0.997967139547288,0.0318815028873482,0.0116970082205897,2.220446049250313e-16
development,0,4,2,0.25,4,block_diagonal,2000,1000,64,0.0,0.988277889148254,0.0602061557322205,0.9985445925733908,0.0269759840099399,0.0095147398052686,3.311927930529099e-17
