dimension,condition,beta,sample_size,seed,control,scale,generator_error,vector_field_cosine,orbit_shape_error,frequency_error,trajectory_error
4,1.5,1.0,2000,80,random_SPD_matched_spectrum,0.9877370867677712,0.16480471959275772,0.9908886643202577,0.06749568756499293,0.014482901380916402,0.0510850322259297
4,1.5,1.0,2000,80,PCA_rank_matched,1.1309353935212167,0.25589826455845777,0.9746470584461343,0.11258983425217768,0.23979468313187932,0.07996658284418041
4,1.5,1.0,2000,80,unknown_symplectic_structure,0.0,1.0,,,,0.31155172450705587
4,1.5,1.0,2000,81,diagonal_only,1.0129868964554802,0.11093276755271225,0.9957694987829553,0.04599185371913546,0.009889187358493241,0.034176272707259696
4,1.5,1.0,2000,81,coordinate_shuffled,0.9658086380466621,0.18631559929252414,0.9884151775524211,0.07610789199412549,0.06172036551672713,0.05755271680605371
4,1.5,1.0,2000,81,random_SPD_matched_spectrum,0.954869725306993,0.2376040220829579,0.9801672732013693,0.09958093893569876,0.07504060289592263,0.07329207827105977
4,1.5,1.0,2000,81,PCA_rank_matched,1.0776062134548694,0.2677060969102481,0.9686027435378788,0.1252941667878461,0.17177480344182613,0.08367131424535812
4,1.5,1.0,2000,81,unknown_symplectic_structure,0.0,1.0,,,,0.31117783983680336
4,1.5,1.0,2000,82,diagonal_only,1.0098655740940348,0.07343480989801812,0.9982430006808042,0.02963949492818542,0.018727777685686606,0.022685712294399685
4,1.5,1.0,2000,82,coordinate_shuffled,0.9914694263188847,0.16473877569552942,0.9901228965163719,0.07027483007317807,0.04954386819766423,0.05083847424446428
4,1.5,1.0,2000,82,random_SPD_matched_spectrum,0.9799102903170736,0.22291480300972394,0.9841000487091422,0.08916263592687752,0.025023661113602685,0.06876755083525851
4,1.5,1.0,2000,82,PCA_rank_matched,1.1433813992074988,0.25470656594443514,0.9738757830234246,0.11428958171367913,0.1418948791736352,0.07955246327705477
4,1.5,1.0,2000,82,unknown_symplectic_structure,0.02304642645119918,0.9997343958411301,,,,0.3111737979145838
4,1.5,1.0,2000,83,diagonal_only,0.97971660245092,0.08517224048760175,0.9972654042012754,0.0369769914860888,0.0051338090509002775,0.026371940175344253
4,1.5,1.0,2000,83,coordinate_shuffled,0.9586890398813893,0.12389100466184998,0.9938419374537968,0.055489019392142604,0.02016826425447355,0.03851584126790587
4,1.5,1.0,2000,83,random_SPD_matched_spectrum,0.9431441099591436,0.2168453200971898,0.9839414083599709,0.08960633805716287,0.04395605262268358,0.06763657479203676
4,1.5,1.0,2000,83,PCA_rank_matched,1.0645439536899322,0.2623968950449671,0.9724082132028271,0.11745592108781246,0.22004875694925613,0.08210122611241435
4,1.5,1.0,2000,83,unknown_symplectic_structure,0.0,1.0,,,,0.31150531115814545
4,1.5,1.0,2000,84,diagonal_only,1.0051372740643698,0.13500036334226084,0.9937920236657409,0.05571344691481182,0.04470737854530053,0.04164424571726516
4,1.5,1.0,2000,84,coordinate_shuffled,0.9589787544273434,0.19662276736942225,0.9862988632393559,0.0827681604261084,0.10444355288938394,0.06101484874922157
4,1.5,1.0,2000,84,random_SPD_matched_spectrum,0.9625609761441509,0.17738381612956963,0.9898400445400819,0.07127396249654626,0.04838865273948836,0.054703019754128994
4,1.5,1.0,2000,84,PCA_rank_matched,1.0707983318142693,0.2653303760979711,0.9692306508700852,0.12403497315256459,0.167745816082735,0.08294383955195898
4,1.5,1.0,2000,84,unknown_symplectic_structure,0.10341799819567388,0.9946379832125853,,,,0.3095808825762841
4,1.5,1.0,2000,85,diagonal_only,1.020291999285281,0.13348492675577914,0.9936367115611746,0.05640606544878598,0.06903857939916955,0.04127153759959599
4,1.5,1.0,2000,85,coordinate_shuffled,0.9813883622480766,0.20273628331754087,0.9869926413957879,0.08064539231788787,0.018132601282408227,0.06232865474689742
4,1.5,1.0,2000,85,random_SPD_matched_spectrum,0.9693894811392729,0.25378429288590987,0.9771900734616505,0.10679402262849129,0.030049473905630137,0.0786225034012612
4,1.5,1.0,2000,85,PCA_rank_matched,1.15018189424985,0.2545257508314192,0.9726262291157816,0.11699096307881746,0.14544738508158614,0.07949552105435315
4,1.5,1.0,2000,85,unknown_symplectic_structure,0.9753636403445852,0.22060319375239978,,,,0.06790798766174473
