model,dimension,seed,beta,scale_estimate,generator_error,flow_frobenius_error,expectation_trajectory_error
random_hermitian,2,29,0.5,0.5,2.482817631833033e-16,1.0350937467774134e-15,2.267757188444205e-16
random_hermitian,2,29,1.0,0.9999999999999998,2.113865543142879e-16,4.726604209672301e-16,1.3893060976749433e-16
random_hermitian,2,29,2.0,2.0000000000000027,4.528261397163826e-16,1.009943519747296e-15,1.6171240618072954e-16
random_hermitian,2,29,4.0,4.000000000000097,5.353402360814292e-16,1.109567877928716e-15,3.0679177056570244e-16
random_hermitian,2,30,0.25,0.24999999999999978,6.851384072562614e-16,1.684904404495483e-15,4.827869688371079e-16
random_hermitian,2,30,0.5,0.5000000000000002,5.289263552714727e-16,1.6120270304935284e-15,4.514405117764105e-16
random_hermitian,2,30,1.0,0.9999999999999999,1.95637545042056e-16,1.3699678553515494e-15,3.77292563481223e-16
random_hermitian,2,30,2.0,1.9999999999999996,1.7555347489019624e-16,3.456306840916953e-16,6.780600386724343e-17
random_hermitian,2,30,4.0,4.000000000000159,1.1525701486200808e-16,1.8514067234150325e-15,3.955962132798179e-16
random_hermitian,2,31,0.25,0.24999999999999992,6.188875307250012e-16,1.0759560891390772e-15,1.4216386643551393e-16
random_hermitian,2,31,0.5,0.49999999999999983,5.353323149741934e-16,9.512435942932982e-16,1.4130512794596911e-16
random_hermitian,2,31,1.0,1.0000000000000007,4.146598296701286e-16,1.1771146840226604e-15,1.5707596429623684e-16
random_hermitian,2,31,2.0,2.0000000000000004,1.5728711113623323e-16,1.2378391938474734e-15,3.613943180576529e-16
random_hermitian,2,31,4.0,3.999999999999869,1.5701717223958782e-16,1.3680014546133663e-15,1.434616314632819e-16
random_hermitian,2,32,0.25,0.25,4.675445879201932e-16,7.50302610459192e-16,9.170176197553118e-17
random_hermitian,2,32,0.5,0.5,5.57225019300603e-16,6.806337196554722e-16,1.3413460388822707e-16
random_hermitian,2,32,1.0,1.0000000000000007,2.4716676875872103e-16,6.603656111483784e-16,1.500671040258362e-16
random_hermitian,2,32,2.0,2.0000000000000004,4.058060749484796e-16,1.6453878345926357e-15,3.1121743881948625e-16
random_hermitian,2,32,4.0,4.0000000000000755,2.5961191470023497e-16,2.5029723042111893e-15,4.726704021151325e-16
random_hermitian,2,33,0.25,0.25000000000000017,6.955531851937354e-16,6.662514288010914e-16,1.5988931251788406e-16
random_hermitian,2,33,0.5,0.5,1.3883230305078316e-16,3.433957877092042e-16,7.761451053626329e-17
random_hermitian,2,33,1.0,1.0000000000000002,1.4311669458912022e-16,5.18989394472193e-16,7.129713486264676e-17
random_hermitian,2,33,2.0,1.9999999999999996,1.9344137944131647e-16,6.244397899142601e-16,7.29939188044481e-17
random_hermitian,2,33,4.0,4.000000000000033,1.0595746534800074e-16,6.164414382394429e-16,9.24607612695638e-17
random_hermitian,2,34,0.25,0.2500000000000001,7.287748265068327e-16,9.148505907496604e-16,1.0778018226908347e-16
random_hermitian,2,34,0.5,0.5,5.170837160223448e-16,1.011987975452078e-15,8.531261932813278e-17
random_hermitian,2,34,1.0,0.9999999999999998,5.395914043525361e-16,1.3253276697074054e-15,3.2165102733409755e-16
random_hermitian,2,34,2.0,1.9999999999999978,4.596875139572057e-16,9.674789338788487e-16,1.7832162495820286e-16
random_hermitian,2,34,4.0,3.9999999999999103,4.580011589452978e-16,1.2240034161988112e-15,1.9929669055576871e-16
random_hermitian,2,35,0.25,0.2500000000000001,7.999003682619949e-16,6.34349294696566e-16,1.5150600670975837e-16
random_hermitian,2,35,0.5,0.5000000000000001,7.157539377532903e-16,1.1004673664197199e-15,2.1870290707639146e-16
random_hermitian,2,35,1.0,0.9999999999999998,4.39768775559168e-16,6.942249277091179e-16,1.7959265780454507e-16
random_hermitian,2,35,2.0,1.9999999999999991,1.6196591418698205e-16,8.907229587886868e-16,9.307764343922538e-17
random_hermitian,2,35,4.0,4.000000000000034,2.0963440381290464e-16,6.500320339462122e-16,8.648569423051352e-17
random_hermitian,2,36,0.25,0.25,5.973069955570394e-16,1.0673515336495965e-15,3.386761633701268e-16
random_hermitian,2,36,0.5,0.4999999999999999,2.232817346289674e-16,1.0619772133271118e-15,2.7386273284688825e-16
random_hermitian,2,36,1.0,1.0,3.0850646055706843e-16,8.519668191024423e-16,2.751204073669714e-16
random_hermitian,2,36,2.0,1.999999999999999,2.8847179151167217e-16,1.189719947767965e-15,2.090154499229941e-16
random_hermitian,2,36,4.0,4.000000000000033,2.0422460711669922e-16,4.1901286424538656e-16,9.086989098058946e-17
random_hermitian,2,37,0.25,0.2500000000000001,1.302502462789536e-15,7.873454523167259e-16,1.4336626624421997e-16
random_hermitian,2,37,0.5,0.4999999999999999,3.2001543757486498e-16,6.914793884509109e-16,1.7317556880134786e-16
random_hermitian,2,37,1.0,0.9999999999999996,4.1196110212936356e-16,6.210431115084928e-16,1.2766361241958429e-16
random_hermitian,2,37,2.0,1.999999999999998,4.008280058943167e-16,9.216725386053665e-16,2.1943814281133407e-16
random_hermitian,2,37,4.0,3.999999999999992,5.729723324226729e-16,7.133103280117802e-16,1.6714707203235818e-16
