control,dimension,scale_estimate,generator_error,flow_frobenius_error,expectation_trajectory_error
incorrect_diagonal_observable_algebra,2,1.0,,5.333964708452278e-16,1.2490009027033009e-16
generic_non_gibbs_unrelated_H,2,0.1349968889729655,0.4053170362718577,0.11796145996217805,0.01766138358361517
gibbs_eigenvectors_rotated,2,0.0,1.0,1.519835093001063,0.2640326213291871
incorrect_diagonal_observable_algebra,2,1.0,,1.5742860334267955e-15,4.524158825347513e-16
generic_non_gibbs_unrelated_H,2,0.0,1.0,1.958078911236034,0.3254138185603789
gibbs_eigenvectors_rotated,2,0.0,1.0,1.682403089229382,0.2855810958230832
incorrect_diagonal_observable_algebra,2,1.0,,7.649008871673884e-16,9.575673587391973e-17
generic_non_gibbs_unrelated_H,2,0.2580756174640329,0.9728286176288271,1.2722107049877056,0.29742408145682137
gibbs_eigenvectors_rotated,2,0.0,1.0,1.6757998253763589,0.2611764332468539
incorrect_diagonal_observable_algebra,2,1.0,,5.770224359760087e-16,9.922618282587335e-17
generic_non_gibbs_unrelated_H,2,0.3223698177069879,0.4446489160813597,0.27368868503912036,0.03479932711284889
gibbs_eigenvectors_rotated,2,0.0,1.0,1.6422642907493277,0.07357268593933146
incorrect_diagonal_observable_algebra,2,1.0,,5.140956055211757e-16,1.5820678100908476e-16
generic_non_gibbs_unrelated_H,2,0.0,1.0,0.5116006968531842,0.08165182430954553
gibbs_eigenvectors_rotated,2,0.0,1.0,1.637373229873259,0.2870194146738039
incorrect_diagonal_observable_algebra,2,1.0,,6.854063242954892e-16,1.4016565685892598e-16
generic_non_gibbs_unrelated_H,2,0.34138468196527516,0.9605793537146143,1.740465413199829,0.30536129246950605
gibbs_eigenvectors_rotated,2,0.23370752255337846,0.9723069442835232,1.6323587354034474,0.2584014473896157
incorrect_diagonal_observable_algebra,2,1.0,,5.107741714664619e-16,1.6930901125533636e-16
generic_non_gibbs_unrelated_H,2,0.47964975852521075,0.8141402455102693,1.1522391493090076,0.07614335083645454
gibbs_eigenvectors_rotated,2,0.7158048410356807,0.6983003863309001,1.129466651652305,0.08643530118636769
incorrect_diagonal_observable_algebra,2,1.0,,4.677709241531179e-16,6.800116025829082e-17
generic_non_gibbs_unrelated_H,2,0.0,1.0,0.48565563827918734,0.060308933557417024
gibbs_eigenvectors_rotated,2,0.0,1.0,1.5757280268617855,0.16234532718988465
incorrect_diagonal_observable_algebra,2,1.0,,6.232586971803833e-16,2.4980018054066017e-16
generic_non_gibbs_unrelated_H,4,0.0,1.0,1.3837809488102066,0.10235771355989602
gibbs_eigenvectors_rotated,4,0.0,1.0,1.5351967643256663,0.10086753526889405
incorrect_diagonal_observable_algebra,4,1.0,,2.5162611000870948e-15,2.223752865876394e-16
generic_non_gibbs_unrelated_H,4,0.0,1.0,1.342889929197404,0.07880308931945194
gibbs_eigenvectors_rotated,4,0.0,1.0,1.4226314177826513,0.13904834405351163
incorrect_diagonal_observable_algebra,4,1.0,,1.9324165486304986e-15,2.6040367778756847e-16
generic_non_gibbs_unrelated_H,4,0.0,1.0,1.108125330870569,0.08028884653301745
