stage,seed,negative_class,metric,score,direct_edge,mechanism,T_iso,T_floor,T_pers
confirmatory,10002,common_driver,mutual_information,0.08591063781153851,False,latent_AR1_common_driver,,,
confirmatory,10002,common_driver,largest_covariance_eigenvalue,4.663414617080882,False,latent_AR1_common_driver,,,
confirmatory,10002,common_driver,pca_rank1_explained_variance,0.38861788475674014,False,latent_AR1_common_driver,,,
confirmatory,10002,common_driver,spectral_coherence,0.21696704731436997,False,latent_AR1_common_driver,,,
confirmatory,10002,common_driver,autocorrelation_persistence,0.6912397650305632,False,latent_AR1_common_driver,,,
confirmatory,10002,common_driver,linear_CKA,0.4541868868221078,False,latent_AR1_common_driver,,,
confirmatory,10002,common_driver,VAR_ARX_predictive,0.03728965790054878,False,latent_AR1_common_driver,,,
confirmatory,10002,matched_low_rank,correlon_v1,0.5963513433277823,False,iid_rank1_common_factor,0.4241326246149501,0.838499337351647,0.6503692987310046
confirmatory,10002,matched_low_rank,pearson,0.33091301611480994,False,iid_rank1_common_factor,,,
confirmatory,10002,matched_low_rank,mutual_information,0.08476713096981481,False,iid_rank1_common_factor,,,
confirmatory,10002,matched_low_rank,largest_covariance_eigenvalue,4.477222340512117,False,iid_rank1_common_factor,,,
confirmatory,10002,matched_low_rank,pca_rank1_explained_variance,0.3731018617093431,False,iid_rank1_common_factor,,,
confirmatory,10002,matched_low_rank,spectral_coherence,0.6435295830428934,False,iid_rank1_common_factor,,,
confirmatory,10002,matched_low_rank,autocorrelation_persistence,0.025399176267579537,False,iid_rank1_common_factor,,,
confirmatory,10002,matched_low_rank,linear_CKA,0.4413753573200912,False,iid_rank1_common_factor,,,
confirmatory,10002,matched_low_rank,VAR_ARX_predictive,0.02936722148726917,False,iid_rank1_common_factor,,,
confirmatory,10002,matched_spectrum,correlon_v1,0.0,False,independent_phase_randomized_target_spectra,-0.038358937481834915,-0.004652996906653335,0.03860749904207661
confirmatory,10002,matched_spectrum,pearson,0.05892743394148966,False,independent_phase_randomized_target_spectra,,,
confirmatory,10002,matched_spectrum,mutual_information,0.01015682992946576,False,independent_phase_randomized_target_spectra,,,
confirmatory,10002,matched_spectrum,largest_covariance_eigenvalue,1.3924632658454201,False,independent_phase_randomized_target_spectra,,,
confirmatory,10002,matched_spectrum,pca_rank1_explained_variance,0.11603860548711836,False,independent_phase_randomized_target_spectra,,,
confirmatory,10002,matched_spectrum,spectral_coherence,0.14635646914109976,False,independent_phase_randomized_target_spectra,,,
confirmatory,10002,matched_spectrum,autocorrelation_persistence,0.6162793115182578,False,independent_phase_randomized_target_spectra,,,
confirmatory,10002,matched_spectrum,linear_CKA,0.020295797364617278,False,independent_phase_randomized_target_spectra,,,
confirmatory,10002,matched_spectrum,VAR_ARX_predictive,0.031116089331246655,False,independent_phase_randomized_target_spectra,,,
