stage,seed,target_class,metric,base_score,P,D,Delta,weakest_preserve_transform,strongest_destroy_transform,T_iso,T_floor,T_pers
pilot,3,persistent_shared_mode,spectral_coherence,0.2846254580763606,0.59286747040335,0.8679651586357016,-0.2750976882323516,P2_global_scaling,D6_common_driver_replacement,,,
pilot,3,persistent_shared_mode,autocorrelation_persistence,0.683932141173024,0.8610950811205855,1.0,-0.13890491887941447,P7_coarse_graining,D7_history_destruction,,,
pilot,3,persistent_shared_mode,linear_CKA,0.16687822929057378,0.8337258065757609,0.49120820372969703,0.34251760284606386,P2_global_scaling,D6_common_driver_replacement,,,
pilot,3,persistent_shared_mode,VAR_ARX_predictive,0.054286178978873945,0.9650800383951632,0.7031215653962847,0.26195847299887853,P6_time_reparameterization,D6_common_driver_replacement,,,
pilot,3,direct_coupling_SCM,correlon_v1,0.0,0.0,1.0,-1.0,P1_node_permutation,D8_block_shuffle,-0.022093343489225287,-0.044341091775063145,0.03204523852942176
pilot,3,direct_coupling_SCM,pearson,0.07145563442388866,0.9860104462304348,0.897602753369409,0.08840769286102579,P5_observation_noise,D7_history_destruction,,,
pilot,3,direct_coupling_SCM,mutual_information,0.013426537047647735,0.9603853116250921,0.9957310357079032,-0.035345724082811114,P5_observation_noise,D7_history_destruction,,,
pilot,3,direct_coupling_SCM,largest_covariance_eigenvalue,1.5923285933961224,0.85043231339378,0.9823967077696687,-0.1319643943758887,P7_coarse_graining,D6_common_driver_replacement,,,
pilot,3,direct_coupling_SCM,pca_rank1_explained_variance,0.13269404944967692,0.9999999999999996,0.982396707769668,0.017603292230331524,P4_orthogonal_basis_rotation,D6_common_driver_replacement,,,
pilot,3,direct_coupling_SCM,spectral_coherence,0.26060108337612653,0.4899923031336148,0.8157162004758957,-0.32572389734228085,P2_global_scaling,D6_common_driver_replacement,,,
pilot,3,direct_coupling_SCM,autocorrelation_persistence,0.5961302871975048,0.8036979162852101,1.0,-0.19630208371478985,P7_coarse_graining,D5_source_swap,,,
pilot,3,direct_coupling_SCM,linear_CKA,0.02983100658530671,0.5227445779323733,0.8002325165139115,-0.2774879385815382,P2_global_scaling,D7_history_destruction,,,
pilot,3,direct_coupling_SCM,VAR_ARX_predictive,0.058451988952709255,0.8954913445368982,0.5945303868102242,0.30096095772667397,P2_global_scaling,D7_history_destruction,,,
pilot,3,history_dependent_relational_mode,correlon_v1,0.0,0.0,1.0,-1.0,P1_node_permutation,D8_block_shuffle,-0.00569030567441331,0.07181282186971963,0.07634042622264992
pilot,3,history_dependent_relational_mode,pearson,0.06333642453833462,0.9793748372330466,1.0,-0.020625162766953364,P5_observation_noise,D2_phase_randomization,,,
pilot,3,history_dependent_relational_mode,mutual_information,0.012152291405528981,0.9527846771945416,1.0,-0.04721532280545837,P5_observation_noise,D2_phase_randomization,,,
pilot,3,history_dependent_relational_mode,largest_covariance_eigenvalue,1.408814658914135,0.8740856239018135,1.0,-0.12591437609818645,P7_coarse_graining,D1_temporal_shuffle,,,
pilot,3,history_dependent_relational_mode,pca_rank1_explained_variance,0.11740122157617787,1.0,1.0,0.0,P1_node_permutation,D1_temporal_shuffle,,,
pilot,3,history_dependent_relational_mode,spectral_coherence,0.1430928355058866,0.9168454063606312,1.0,-0.08315459363936883,P5_observation_noise,D5_source_swap,,,
pilot,3,history_dependent_relational_mode,autocorrelation_persistence,0.6232921894083647,0.8485383833256076,1.0,-0.1514616166743924,P7_coarse_graining,D7_history_destruction,,,
pilot,3,history_dependent_relational_mode,linear_CKA,0.023421409799999543,0.7316285431952431,1.0,-0.26837145680475694,P2_global_scaling,D2_phase_randomization,,,
pilot,3,history_dependent_relational_mode,VAR_ARX_predictive,0.037978255125350635,0.9702431394894232,0.9119472855605107,0.058295853928912456,P5_observation_noise,D2_phase_randomization,,,
pilot,4,persistent_shared_mode,correlon_v1,0.34443163230497864,0.9999999999999993,1.0,-6.661338147750939e-16,P1_node_permutation,D6_common_driver_replacement,0.15408865493795343,0.7699019073146027,0.5206444659377586
pilot,4,persistent_shared_mode,pearson,0.2034024624460336,0.9329146406434989,0.8027818903884192,0.13013275025507975,P4_orthogonal_basis_rotation,D6_common_driver_replacement,,,
pilot,4,persistent_shared_mode,mutual_information,0.0785448987080114,0.9976822485855033,0.45693661339527786,0.5407456351902253,P5_observation_noise,D6_common_driver_replacement,,,
pilot,4,persistent_shared_mode,largest_covariance_eigenvalue,2.8355075348475927,0.9623140142373902,0.9442385704240878,0.018075443813302394,P7_coarse_graining,D6_common_driver_replacement,,,
pilot,4,persistent_shared_mode,pca_rank1_explained_variance,0.23629229457063264,0.9999999999999993,0.9442385704240883,0.055761429575911015,P3_affine_offset,D6_common_driver_replacement,,,
pilot,4,persistent_shared_mode,spectral_coherence,0.2095659929239302,0.979754867268173,1.0,-0.020245132731827042,P2_global_scaling,D6_common_driver_replacement,,,
pilot,4,persistent_shared_mode,autocorrelation_persistence,0.7046429263098454,0.8729013933950848,0.996810409195992,-0.12390901580090719,P7_coarse_graining,D2_phase_randomization,,,
pilot,4,persistent_shared_mode,linear_CKA,0.22316032429379384,0.9996550044436456,0.6400007808438926,0.3596542235997531,P5_observation_noise,D6_common_driver_replacement,,,
pilot,4,persistent_shared_mode,VAR_ARX_predictive,0.045141072941520866,0.9920398580917695,0.882303194694524,0.10973666339724553,P5_observation_noise,D6_common_driver_replacement,,,
pilot,4,direct_coupling_SCM,correlon_v1,0.0,0.0,1.0,-1.0,P1_node_permutation,D1_temporal_shuffle,-0.00825882220029904,0.014204099663590375,0.06087680638821241
pilot,4,direct_coupling_SCM,pearson,0.06377269754090764,0.9847355483710429,1.0,-0.015264451628957065,P4_orthogonal_basis_rotation,D7_history_destruction,,,
pilot,4,direct_coupling_SCM,mutual_information,0.01113906445236934,0.9999997784337171,1.0,-2.2156628287639535e-07,P2_global_scaling,D3_IAAFT_surrogate,,,
pilot,4,direct_coupling_SCM,largest_covariance_eigenvalue,1.533894156600317,0.848563119985133,1.0,-0.151436880014867,P7_coarse_graining,D6_common_driver_replacement,,,
pilot,4,direct_coupling_SCM,pca_rank1_explained_variance,0.12782451305002634,0.9999999999999993,1.0,-6.661338147750939e-16,P1_node_permutation,D6_common_driver_replacement,,,
pilot,4,direct_coupling_SCM,spectral_coherence,0.11166263307929442,0.9830054762614076,1.0,-0.01699452373859245,P5_observation_noise,D1_temporal_shuffle,,,
pilot,4,direct_coupling_SCM,autocorrelation_persistence,0.607141014802895,0.796997648698755,0.9975566871255159,-0.20055903842676093,P7_coarse_graining,D2_phase_randomization,,,
pilot,4,direct_coupling_SCM,linear_CKA,0.023683757692906423,0.6462404993866525,1.0,-0.3537595006133475,P2_global_scaling,D7_history_destruction,,,
pilot,4,direct_coupling_SCM,VAR_ARX_predictive,0.050280493771613144,0.8917130792178594,0.7282218253722504,0.16349125384560892,P2_global_scaling,D8_block_shuffle,,,
pilot,4,history_dependent_relational_mode,correlon_v1,0.0,0.0,1.0,-1.0,P1_node_permutation,D1_temporal_shuffle,-0.023608143588979377,-0.010703702849658353,-0.022936040481783604
pilot,4,history_dependent_relational_mode,pearson,0.05391873320014493,0.9767406247793734,1.0,-0.0232593752206266,P5_observation_noise,D2_phase_randomization,,,
pilot,4,history_dependent_relational_mode,mutual_information,0.008506984373455873,0.9530567602515839,1.0,-0.04694323974841608,P5_observation_noise,D2_phase_randomization,,,
pilot,4,history_dependent_relational_mode,largest_covariance_eigenvalue,1.3778786015995588,0.8574493069829882,1.0,-0.14255069301701184,P7_coarse_graining,D2_phase_randomization,,,
pilot,4,history_dependent_relational_mode,pca_rank1_explained_variance,0.11482321679996323,1.0,1.0,0.0,P1_node_permutation,D2_phase_randomization,,,
pilot,4,history_dependent_relational_mode,spectral_coherence,0.14945112497029958,0.7111807122932744,0.9923819210788669,-0.2812012087855925,P2_global_scaling,D7_history_destruction,,,
pilot,4,history_dependent_relational_mode,autocorrelation_persistence,0.6022732802668903,0.7938376950081716,1.0,-0.20616230499182842,P7_coarse_graining,D5_source_swap,,,
pilot,4,history_dependent_relational_mode,linear_CKA,0.01705541514642539,0.6913473282097472,1.0,-0.3086526717902528,P2_global_scaling,D2_phase_randomization,,,
pilot,4,history_dependent_relational_mode,VAR_ARX_predictive,0.03425874836529297,0.9329063833455908,0.9555770402277072,-0.022670656882116336,P2_global_scaling,D5_source_swap,,,
pilot,5,persistent_shared_mode,correlon_v1,0.24298429864315538,0.9888949701178449,1.0,-0.011105029882155115,P5_observation_noise,D6_common_driver_replacement,0.10320408553200637,0.5720836445839714,0.4059501416554963
