seed,family,family_parameter,history_length,p_required_exact,p_star,lag_grid_exhausted,selected_lag_nmse,d_required,d_star,state_grid_exhausted,state_approximation_nmse,heldout_prediction_NMSE,heldout_intervention_NMSE,predictive_log_likelihood,memory_kernel_reconstruction_error,long_horizon_error,parameter_count_lag,parameter_count_state,stage
30001,M1_AR_finite,0.0,128,3,4,False,0.0,3,4,False,0.01,0.001289603185237,0.001289603185237,3.3267103581365274,0.0,0.0,6,20,development
30001,M1_AR_finite,0.0,256,3,4,False,0.0,3,4,False,0.01,0.0008883451416901,0.0008883451416901,3.5130751087057,0.0,0.0,6,20,development
30001,M1_AR_finite,0.0,512,3,4,False,0.0,3,4,False,0.01,0.000131779300263,0.000131779300263,4.467191001190066,0.0,0.0,6,20,development
30001,M1_AR_finite,0.0,1024,3,4,False,0.0,3,4,False,0.01,0.0010054274068776,0.0010054274068776,3.451171273700949,0.0,0.0,6,20,development
30001,M2_linear_SSM,0.0,16,13,16,False,0.0,4,4,False,0.01,7.67372364928179e-05,7.67372364928179e-05,4.737561742547076,0.0,0.0550036527225422,18,20,development
30001,M2_linear_SSM,0.0,32,17,32,False,0.0,4,4,False,0.01,0.0013139245461845,0.0013139245461845,3.3173683917817627,0.0,0.0049573480710451,34,20,development
30001,M2_linear_SSM,0.0,64,18,32,False,0.0049573480710451,4,4,False,0.01,0.0050493491223759,0.0056442308909013,2.6442479653298494,0.070408437498961,0.0049873271380537,34,20,development
30001,M2_linear_SSM,0.0,128,18,32,False,0.0049873271380537,4,4,False,0.01,0.0054414478286646,0.0060399270852311,2.6068550542747264,0.07062101059921,0.0049873282088814,34,20,development
30001,M2_linear_SSM,0.0,256,18,32,False,0.0049873282088814,4,4,False,0.01,0.006045022649833,0.0066435020348988,2.554260024025876,0.0706210181807188,0.0049873282088814,34,20,development
30001,M2_linear_SSM,0.0,512,18,32,False,0.0049873282088814,4,4,False,0.01,0.005076151180283,0.0056746305653488,2.6416009731119034,0.0706210181807188,0.0049873282088814,34,20,development
30001,M2_linear_SSM,0.0,1024,18,32,False,0.0049873282088814,4,4,False,0.01,0.0055261521082631,0.0061246314933288,2.59913176346723,0.0706210181807188,0.0049873282088814,34,20,development
30001,M3_sum_exponential_kernel,0.0,16,14,16,False,0.0,3,4,False,0.01,0.001065650381786,0.001065650381786,3.4220849895455787,0.0,0.1513057040950728,18,20,development
30001,M3_sum_exponential_kernel,0.0,32,25,32,False,0.0,3,4,False,0.01,0.0003414390815416,0.0003414390815416,3.991170639904961,0.0,0.0478776319405662,34,20,development
30001,M3_sum_exponential_kernel,0.0,64,32,32,False,0.0478776319405662,3,4,False,0.01,0.0482958658926463,0.0540411817255142,1.5152046571357969,0.2188095791791718,0.0516352896565668,34,20,development
